C04DS1X83 general
C9Z3GN7AM kintai-directors
C9Z3GV4SD kintai-developers
C9ZKL1SH0 kintai-cust-success
C9ZPGFSH3 kintai-marketing
C9ZPGPQN9 kintai-sales
C9ZPJG5D3 kintai-corporate
C9ZSZ5DT6 ext-abridge-yappli
CA0M0F51D kintai-designers
CA37BFQFJ customize-daiwahotel
CA643TVFC bubble_how_to
CA6D38RMK bar_frontier
CAA2EKQ4B customize-arigaen
CAB5LGYR5 stg-branch
CACP7HCF4 customize-neuve-a
CACQRG1L5 to-churn-rate
CAH1B450V custom_theory
CAJM1JPHP customize-shiseidou
CAJTK2FMX backoffice
CAKQ03K99 cs_dir
CAKU9HJ9E seminar
CALBFTWJ0 test-slack-for-td
CAM3XES6Q project_photoframe
CAMLMJ2VD 営業企画--開発
CAP38A7C3 yokosuka_task
CAQ4S6ZJT customize-conven
CAR76PXMH customer_success_only
CARH2DEP8 prj-customersuccessda
CARV969EX prj-yapplisdk
CAT746QP7 to-sales-invoice
CATNMS4T1 club-boulderer
CAUMTFXNV prj-new-cms
CAX4ZQ5GV admin_announce
CAXE5JUJ0 mktg-cs
CB1U57HFZ customize-kobayashi
CB20BD4KB osaka-emergency
CB29R6VFW osaka-random
CB34T5Q1Z prj-ec-connect
CB3A9TMFY cs-se_stampcard
CB3QTQ3NY internal-audit
CB4PR577E customize_technopro
CB6T8P0VD copen_iwanaga-y
CB771S4TV ypd
CB8FBB5B9 project_repro
CB8L2T2TT s_assistant
CBAQKU99P p_mark
CBB58BH9S customize-trecenti
CBCLKSCHF talk-keio_users
CBDSQ32SF pai
CBG3G682X customize-recruit
CBGMNEAKB customize-sanyo
CBH25AEAG team-meetup
CBH7232M8 club-boardgame
CBHV0RW2W prj-doi-ext-operation
CBJL8NYG1 customize-talbots
CBK1YDNHM team-pdm
CBL96EBUY dev_handson
CBMFE08EP prj-app-marketing
CBMFG3LDA prj-ar
CBNMVQNQZ customize-jwi
CBNS02R7H prj-rakuten_pt
CBP5B5C10 customize-bodymaker
CBQ8N5CET customize-sekimiki
CBQUZ5P47 customize-foodyone
CBRHB13J7 osaka-relocation
CBRP2GUGY marke_offline
CBS8Q7Q68 team-legal
CBSBA4Q5R osaka-cs3
CBTFT7T5X customize-sekido
CBW0GKDUZ notification_check
CBWJYS0TT android_notification
CBZBWQN7Q times-yukahara
CBZGS2XC4 osaka-sales
CC0GFARRQ talk-iyashi_no_mado
CC1H0CGA1 to-legal
CC63XN63V osaka-food
CC7670FPW customize-proactive
CC9GJS0AC chaos
CC9UL8KGU god
CCAAVLV42 kpt
CCAE4BYFR note-ootani
CCAQJRWAJ company-investigation
CCAV1R6AJ to-wework-key
CCBP6E597 yapplisummit
CCC3S3T8C to-cs-mail-magazine
CCCBB3JF9 wew
CCDLRPL2W abstract
CCEMECS3H note-oshiro
CCFJC2M16 notify-yappli-values
CCFQZFYGH yapplinight
CCHCELEF3 notify-reception
CCK4E29UZ times-shadow
CCK5QM9SL app-preparation
CCMEL870X to-jobcan
CCQ2XL6H2 bbq0926
CCRNTEZFE we
CCS8RA117 notify-new-cms
CCSNX2M96 club-padel
CCSVDG3UP yapplisummit_update
CCTA8AX5J chi-ra-mi-se-night
CCTNKCZA9 times-ikeu
CCULU7H6W customize-kubarahonke
CD2683JUQ customize-renaissance
CD26HRUUQ team-creative-office
CD29NVD7B talk-gamers
CD2G99MFB talk-cats
CD4DWMQUS talk-dogs
CD50N95SP times-muscle
CD6NW92PN team-qa
CD6RD8NF6 times-ymzk
CD7QCF7PU customize-ragtag
CDB2T319N cost_marketing
CDBUB5DT5 ext-sorako-yappli
CDC792HPG bicycle
CDE0SD326 copen_igarashi
CDF28CCKU team-frontend
CDG4B9UBB team-sales-planning
CDGDQD4MC applicationinfo_audit
CDGSGPX47 customize-sanrio
CDJA0KA0G kaizen
CDMCRKEKG expo
CDN9RPQTS to-creative-req
CDNAC4F7A team-developer-okr
CDP0WAJDR project_webrevamp
CDQJ8SHNH harajuku_food
CDRR31SCR prj-specialist-define
CDV8Q0U15 prj-progress-meeting
CDV9LBA7R to-office-question
CDVGS5R54 times-sasa
CDY8LKP8C ext-pitcrew
CDYJJGRFU prj-ga
CE290TAAH roumu_memo
CE2KL7XH7 customize_niko
CE3VDLZLK katesapade_us
CE4978XLM jun_bunkasai
CE71MU924 project_taxi_ad
CEAQ743V5 times-kaji
CEC6T2WJD client_list
CECKDAEHJ newbalance_ar
CEGPG8A72 club-barista
CEH9FNMAB customize-alpen
CEJK17HQT osaka-office
CEJN2BAGJ osaka_project
CEK1K6108 talk-電子工作同好会
CEK47A3SL pricelist
CEK6Y7WNM cs_emergency
CEPRFPV5F fluent_english
CEREASZ2T marketing-only
CESJKE6UF kin
CESN5LL67 abridge-yappli_chiba
CEV9J7ECB team-corp-engineering
CEVPJU3H6 prj-y4b
CEVQN4UTS recruiting
CEWBZHZMG prj-corp-hp-renewal
CEWDLD5PE notify-yappedia
CEWKBJV2B notify-ce-wiki
CEXE3RERG notify-recruit
CEYN7FECA osaka-exhibition
CEZG35LBD meetup-3社合同イベント
CF27A0N9X times_tsuno
CF2NDHJ07 customize-nuskin
CF2P6J5UP yappli-relocation2019
CF7TNSQTF osaka
CF8LQ6NCT times-shin
CF9KQ5V32 kintai-communication
CFA7VN7C4 customize-hp
CFCTSBBL0 to-inside-marketo
CFDJV65GT ext-gmotech-yappli
CFF06KC13 fieldsales-勤怠
CFF2BT77C ext-yappli-draft
CFGM7M9QC pmi_corporate
CFGP15FQB team-appcapsule
CFH2KDWPP prj-ac-business
CFHFP4HK8 customize-skylark
CFJ13RMQQ notify-relocation
CFJ8W7SLE project_guideline
CFJBNLH9A prj-kintai-replace
CFJF8G5GS customize-tomy
CFK1LHR6D customize-heads
CFKTAEWDP notify-ce-jira
CFLCU1M27 notify-pti-jira
CFMK80M9R tmp-highest-flow-upda
CFMNB9CGJ customize-honeys
CFMQN3TJR ext-digiha-yappli
CFNK5RCGL notify-new-cms-alert
CFQUZTUNM team-developer
CFRJ0ABFW prj-ac-pmi
CFRJ63DC6 notify-jira-apcy
CFRL3USTV tmp-zendesk-support
CFS5N1KPB tmp-reject
CFT66F0A2 customize-jtb
CFTEDRAPJ customize-yoshimoto
CFX7MRYN9 customize-fishing8
CFY83PGTZ prj-corp-security
CFYA95GBD team-bo-support
CFYPDC65P prj-exhibition
CFZJ23J9L customize-triumph
CFZK8K63G notify-ce-workflow
CFZQ2UDML customize-beams
CG07LS4GL notify-soumu-etc
CG07P229H prj-corp-photo
CG0C7LM7Z talk-designer-review
CG0ESMYNP customize-newbalance
CG0HRKKCP prj-b-dash
CG47W71NE yappli-novelty
CG4925E3V times-legstand
CG5FBNM36 tmp-doisan-camera
CG6GFMK1D times-mishimay
CG7B0886L talk-aiharadio
CG7L6Q727 talk-gekikara-food
CG84CK7AS times-thasegawa
CG96UHXC2 tmp-creative-workflow
CG98R8286 prj-yappedia
CG98VHC0N talk-sushi
CGD8QPDAR times-simako
CGDS63USK notify-apps-review
CGDUTDT6W notify
CGF7EG92A prj-office-food
CGFLE0Q7L prj-y4b-the-nextpmf
CGFP49N76 customize-lettuce
CGGQA5NRJ matsuda-fan-club
CGH3EKWH3 prj-y4b-docs
CGH9H0E48 team-cre
CGHRDP4TD times-kajuiwa
CGHTDPXS8 talk-golf
CGHTMTFHS marke_online
CGHU5527L team-appcapsule-dev
CGJ6G9F1S andb
CGJD3BQC8 notify-cr-jira
CGJPM0D7B prj-doi
CGJTPAUCF tmp-display-improve
CGK0QJ7HV alert-appcapsule
CGK17P2K1 tmp-android-pushcount
CGK1PAL9Y notify-meetup
CGK4G0P60 notify-appcapsule
CGKA08P44 prj-update-info
CGKCTF5NH prj-appcapsule
CGL6999E0 notify-tw-yappli
CGL91024U prj-ac-tsukada
CGMBZMQL8 customize-doda
CGMKPFTC4 notify-jira-legal
CGMUTMUKW team-corp-okr
CGMV54MT4 prj-ac-sst
CGNBLRF0V prj-ac-sotetsu
CGNCLL45N prj-ac-kamiya
CGP3Q6SJF prj-ac-sakoda
CGQ6KQ63E team-sre
CGQ6LRQH2 to-sre
CGQ7TR8TC prj-product-invoice
CGR7X4U83 customize-levistrauss
CGR8YQ0KZ tmp-improve-corpphone
CGRPE27NJ incident-appcapsule
CGSQYA1QA team-general-affairs
CGUGSRCN8 prj_ac_invoice
CGUN9KN2H incident
CGVE2UFFU team-19march-join
CGVFTG0RZ yappli-ideabox
CGVHBU74J tmp-improve-pbl
CGVK0FWQ2 team-payroll-ga
CGW0XLP3J talk-starbucks
CGWNKUWLT notify-saas-status
CGWU880DA club-futsal
CGX0DATPV talk-designer-ohanami
CGY03ES7R talk-dodesyo
CGY32FUGZ tmp-yakuin-lunch0322
CGYFL7C3G prj-tangerine
CGYHSLZJ6 notify-success
CGYJLSGRJ prj-relocation-movie
CGZ8YG53J prj-ac-newtokyo
CGZDDNYET talk-appcapsule
CH0N6BXCP club-sound-associates
CH0TXRMR7 customize-estnation
CH1L4H8D8 customize-edwin
CH26WMZQV prj-ac-product
CH2RP7547 talk-sagyo_bgm
CH43VP657 prj-migration-note
CH4AFJ4NN tmp-yakuin-lunch-320
CH4AU14DP prj-partner_program
CH4FZ2A3D prj-corp-app
CH4L16T0S notify-mtg-room-jira
CH6KVTRLK customize-shinseibank
CH6P9L3PW 水野
CH739CCQM tmp-welcome-gift
CH87SGUTB prj-sales-monitoring
CH9SYALE5 club-esports
CHA4BSJCC tmp-consider-ax
CHA4NTEFN prj-firebase
CHBCFQL78 customize-kibera
CHBGUTYTW team-pr
CHCKZSZ7H team-pr-ir
CHDBLDHM3 prj-office-party
CHDHUPPT5 to-appcapsule
CHEL0ACU8 prj-ac-zundoya
CHF2X4Y1J temporary_gogotea
CHFH91A3F team-communication
CHGKP57EV notify-yappli-cafe
CHGRLCT5J tmp-dialpad-hearing
CHH7NEQG5 team-19april-join
CHHNTVBFS talk-snkrs
CHJLZ9UUE customize-reclo
CHK9Y6048 customize_joyful
CHLBFBD1P prj_funnel
CHM487NH0 customize-taisho
CHM4J7L8P tmp-pdwars-con
CHR3JCRMF tmp-offsite-20190517
CHRAG31J4 prj-yop
CHS8Z16BC prj-ac-nihonshu
CHSKM3ZS9 customize-teamo
CHSQQQRKQ ext-yappli-cafe
CHT7B4ECT team-ui-ux
CHU0183BK douki_sales_marketing
CHW68LMNU talk-mahjong
CHWF8CM4N talk-supplements
CHX846VPS fukuoka-exhibition
CJ067GCSZ team-cs-director-only
CJ0N6B0FK notify-cs-survey
CJ2MS307J notify-trello-com
CJ3F2N0R3 team-comm_cs
CJ3JS3EF2 customize-zaza
CJ4MPR524 prj-ac-keio
CJ4S60ZCY club-escape-game
CJ6G25ZJQ customize_dinos
CJCA5LYH1 prj-ac-draft
CJF0SKFDH ext-aloha-yappli
CJGPC3E2E test-zap
CJGPWU1AQ prj-ac-machida
CJH8R81R6 tmp-account-copy
CJJ51CJH2 talk-racing_kart
CJK19EV4P tmp-next-ypd
CJK55CP7D tmp-new-vpn-user
CJL96QG59 notify-recruit-tel
CJLDJ5D50 pjt_community_mkt
CJM0G15EG tmp-sdk-define
CJMM3PSV9 osaka-capsule
CJMP6LZLK times-yumi
CJNDPS9QD talk-shitamach
CJP6BPRSP osaka-cs-dir
CJP89G34Y prj-y4b-ad-hoyu
CJPA2FFKL tmp-customer_data
CJQ42PCJ1 notify-yappli-wiki
CJQ4VA4FJ notify-yapproom
CJSF1UWCB times-fujishita
CJTF3CRF0 club-k-on
CJTN51259 team-cs-dir-de-only
CJU4G7NC8 fukuoka-general
CJUD9UH3Q customize-tomiduya
CJV4UQPC4 notify-zoom-alert
CJVA7T1EH yappli-cafe
CJWFUG4CQ talk-sweets
CJWNTD54Y talk-papa-mama
CJX1Y56UX notify-inside-tel
CJXCYBFRC sandbox
CJXEC65RU talk-cooking
CJZE07S03 customize-matsuya
CK049RQ78 customize-gorillacli
CK0NN0V5W talk-gyoza
CK136LD25 talk-nail
CK1ED2716 notify-fax
CK2L752SK osaka-tel
CK2U5117G talk-soccer
CK322MJRE temp-recruiting-dev
CK3EPUS8Z mktg-creative
CK3UGM5PS tmp-yquest-biz
CK6JR784S tmp-prj-start
CK6LJTVEC team-19june-join
CK6NTRM0D notify-ce-tel
CK79SGV38 team-furikake
CK7CHBSLD times-yokosuka
CKAHBFUN6 fukuoka-relocation
CKAR9SENL temp-201906-lunch
CKBSAU1L6 tmp-uiux-designer-jd
CKCBP2UDN fy19_june_douki
CKCCLEK4G customize-petgo
CKDT8NAAU fukuoka-food
CKEGRGX60 talk-motorcycle
CKEGT10SG talk-bicycle
CKESPLTPU corporate_disney0621
CKF1TSB16 osaka-novelty
CKG4B4L94 prj-t-point
CKH5WQNDA notify-ac-tel
CKJPHUQ4C notify-lounge-usage
CKK2Q49LN talk-mochizuki
CKK3Y7J1K prj-ac-ikkadining
CKN40DQG0 tmp-y4b-auth
CKNUG3LAY notify-entrance-recep
CKPGKM02X talk-johnnys
CKPJZ7S2Z prj-official-manual
CKPNCTWBD times-koga
CKQM1L9CY prj-coloricon
CKQSHS1LG talk-manga
CKS0Q7PQD prj-y4b-question
CKU3A8693 to-partner
CKU4KKC2Z pjt-hanabi
CKV03BR1R tmp-question
CKVL89VL7 to-partner-sales
CKVP37CVB talk_ramen
CKVPG2ASW customize-ete
CKVVCNZ33 to-hr
CKXSA6N94 times-yamane
CKZJ7SDJB customize-eizai-ec
CL07Y0V52 field_sales_team3
CL0GCK9NU team-regional-control
CL21AK988 team-ac-gen_affairs
CL26RAZR7 tmp-improve-salesphon
CL2UDAQHM team-creative-k-only
CL3LE185T tmp-designer-intern
CL40R9479 team-creative-o-only
CL44L399V prj_funnel_cvr
CL49DV1KL prj-labo-yappli
CL4FJ1BD4 team-19july-join-
CL4V1FP32 team-designer-only
CL5502Y3E yappli_training
CL5EEGQBA notify-cs-dir-de-tel
CL5J8TF5Z yappli
CL6KS90BZ team-enablement
CL6TKTXT8 notify-1pass-confirm
CL88A7UV9 prj-biometric-auth
CL8ESLV1N team-bdr
CL91DCE0P prj-appsflyer
CL937HUKB tmp-branch-zoom
CL9LREBB2 customize-jrnewdays
CLA389210 prj-rootbox
CLAPBS85S tmp-time-keeper
CLD2K5W1X times-kodai
CLFGA6BSR ext-getakicks-yappli
CLGMN2BND tmp-takeover-adobe
CLJ37BCKX notify-automation-sys
CLJQ5EA6S talk-marketing-event
CLL7XE9ML fukuoka-sales
CLM76AG4F prj-yappli-data-hub
CLM97M6SK prj-vulnerability-che
CLPF13H5L times-matsurat
CLPJ9HQ5U customize-cybozu
CLS2XP31D prj-ac-joysound
Total
1 :tada: 5121
2 :arigato: 3850
3 :congratulations: 3380
4 :sasugada: 2828
5 :yoshiyoshi: 2712
6 :sparkles: 2617
7 :+1: 2473
8 :man-bowing: 2284
9 :sugoi: 2156
10 :tea: 1981
11 :kawaii: 1725
12 :woman-gesturing-ok: 1676
13 :god: 1651
14 :done: 1604
15 :素敵やん: 1389
16 :clap: 1155
17 :woman-raising-hand: 979
18 :youkoso: 959
19 :woman-bowing: 947
20 :pray: 937

#talk-mahjong
1 :tada: 11
2 :arigato: 10
3 :sparkles: 7
4 :sweat_drops: 5
5 :clap: 4

#customize-gorillacli
1 :man-bowing: 1

#talk-1991
1 :youkoso: 21
2 :namiki: 20
3 :nai: 13
4 :god: 11
5 :sob: 11

#ext-yappli-draft

#customize-triumph
1 :arigato: 10
2 :woman-raising-hand::skin-tone-2: 9
3 :man-bowing: 8
4 :pray: 5
5 :desuyone: 4

#customize-klc

#to-inside-marketo

#customize-sogoseibu
1 :man-bowing: 18
2 :+1: 10
3 :thinking_face: 9
4 :woman-gesturing-ok: 9
5 :tada: 8

#kintai-sales
1 :yoshiyoshi: 117
2 :tea: 93
3 :hospital: 48
4 :tannome: 27
5 :pill: 23

#osaka-exhibition
1 :arigato: 11
2 :man-bowing: 8
3 :man-bowing::skin-tone-2: 8
4 :osaka: 8
5 :sasugada: 8

#prj-exhibition

#series-b_tsunoda

#wantedlyphoto

#notify-yapproom
1 :full_moon_with_face: 1

#tmp-branch-zoom

#talk-appcapsule

#prj-sales-monitoring

#customize-plst

#notify-yappli-values

#osaka

#notify-saas-status

#talk-marketing-event

#helpbox
1 :god: 3
2 :woman-raising-hand: 3
3 :arigato: 2
4 :man-bowing: 2
5 :oyasai: 2

#wiki
1 :god: 8
2 :sparkles: 7
3 :bow: 4
4 :+1: 3
5 :heavy_check_mark: 3

#abridge-yappli_chiba

#customize-skylark

#team-furikake
1 :arigato: 33
2 :thanks: 21
3 :kansya: 7
4 :woman-gesturing-ok: 7
5 :sparkles: 6

#requestbox
1 :+1: 12
2 :scream: 2
3 :+1::skin-tone-6: 1
4 :bow: 1
5 :flushed: 1

#times-shirai

#to-jobcan
1 :arigato: 48
2 :man-bowing: 26
3 :tada: 23
4 :sasugada: 20
5 :woman-bowing: 20

#ext-gmotech-yappli

#owned_media_maji

#times-yukahara

#prj-partner_program

#to-partner-sales

#customize-dome
1 :+1: 5
2 :tada: 5
3 :man-bowing: 4
4 :arigato: 2
5 :clap: 2

#idom_kurumaconnect
1 :+1: 3
2 :kasikomariko: 3
3 :ok: 3
4 :man-bowing: 2
5 :bow: 1

#notify-success

#prj-ac-machida

#ext-getakicks-yappli
1 :kandoutaiken: 1

#kintai-developers

#newbalance_ar

#app_build
1 :arigato: 38
2 :thanks: 24
3 :itumoarigato: 14
4 :yarimasu: 14
5 :woman-bowing::skin-tone-2: 13

#kintai-directors

#customize-kobayashi

#prj-y4b

#notify-tw-yappli

#prj-yappli-mmu
1 :arigato: 97
2 :sasugada: 71
3 :sugoi: 42
4 :otukaresama: 39
5 :clap: 35

#wacoal_app

#tmp-doisan-camera
1 :woman-bowing: 1

#team-enablement
1 :woman-gesturing-ok: 52
2 :+1: 10
3 :man-gesturing-ok: 6
4 :sasugada: 5
5 :god: 4

#copen_aoyama

#osaka-sales

#de

#cs-sample-check
1 :woman-bowing: 54
2 :woman-gesturing-ok: 41
3 :man-bowing: 36
4 :pray: 29
5 :thanks: 20

#stg-branch

#android_notification

#customize-tsi
1 :bow: 18
2 :woman-gesturing-ok: 4
3 :+1: 2
4 :fearful: 2
5 :man-bowing: 2

#team

#ext-sorako-yappli

#prj-specialist-define

#team-bo-support
1 :woman-bowing: 22
2 :arigato: 20
3 :woman-raising-hand: 13
4 :man-bowing: 10
5 :sasugada: 9

#notify-jira-legal

#customize-luxurycard
1 :man-bowing: 34
2 :man-bowing::skin-tone-2: 17
3 :sob: 8
4 :woman-gesturing-ok::skin-tone-2: 8
5 :azasu: 7

#pinchos

#bbq0926

#team-general-affairs

#tmp-question

#to-support
1 :arigato: 61
2 :sasugada: 34
3 :woman-bowing: 31
4 :man-bowing: 29
5 :yarimasu: 25

#times-shadow

#project_webrevamp
1 :woman-gesturing-ok: 25
2 :arigato: 16
3 :man-bowing: 14
4 :ok: 13
5 :done: 7

#customize-jtb

#notify-lounge-usage

#prj-yappli-data-hub
1 :bow: 1
2 :eyes: 1
3 :woman-raising-hand::skin-tone-5: 1

#customize-kitanihon
1 :bow: 13
2 :+1: 10
3 :man-bowing: 4
4 :893: 3
5 :tada: 3

#cast

#kintai-cust-success

#osaka-food

#talk-dogs
1 :kawaii: 65
2 :ishimura: 38
3 :dog: 19
4 :youkoso: 11
5 :iyashi: 8

#notify-ce-jira

#customize-hysgla
1 :arigato: 4
2 :tada: 3
3 :man-bowing: 2
4 :yami: 2
5 :otukaresama: 1

#ope-neutralworks
1 :metal: 1
2 :sweat_drops: 1

#20180201question

#customize-theory

#times-ymzk

#fluent_english

#online

#project-gpsstamp

#douki_sales_marketing

#copen_ogata

#notify-autotest
1 :thinking_face: 16
2 :japanese_ogre: 4
3 :tada: 4
4 :maenimita: 3
5 :sob: 3

#incident-appcapsule

#customize_dinos
1 :soregaii: 2
2 :naruhodo: 1

#pjt_community_mkt

#talk-電子工作同好会

#talk-sagyo_bgm

#customer_success_only
1 :arigato: 47
2 :sparkles: 36
3 :sasugada: 23
4 :done: 17
5 :man-bowing: 11

#pai

#osaka-relocation

#team-legal
1 :white_check_mark: 20
2 :man-gesturing-ok: 15
3 :arigato: 14
4 :pray: 11
5 :+1: 8

#team-developer

#talk-snkrs
1 :gotem: 6
2 :sasugada: 3
3 :tada: 3
4 :zannnenn: 3
5 :素敵やん: 3

#customize-phiten

#field

#test-zap

#project_taxi_ad
1 :woman-gesturing-ok: 14
2 :man-bowing: 10
3 :arigato: 7
4 :ok: 5
5 :pray: 4

#prj-yop

#fy19_june_douki
1 :arigato-attouteki-kansha: 12
2 :adachi: 7
3 :god: 7
4 :azasu: 6
5 :parrot: 6

#ope-northface
1 :woman-bowing: 11
2 :woman-gesturing-ok: 5
3 :bow: 3
4 :man-bowing: 3
5 :+1: 2

#club-boulderer
1 :youkoso: 28
2 :sugukinnniku: 23
3 :yoshiyoshi: 19
4 :done: 17
5 :sasugada: 15

#notify-automation-sys
1 :man-bowing: 6
2 :tada: 2
3 :clap: 1
4 :dondokodondoko: 1
5 :god: 1

#test-slack-for-td
1 :ok: 1

#notify-entrance-recep

#club-esports

#times_tsuno

#prj-yappedia

#tmp-offsite-20190517
1 :+1::skin-tone-6: 4
2 :eyes: 1

#talk-cooking

#talk-soccer

#recruitweb
1 :clap: 6
2 :+1: 2
3 :ok_woman: 2
4 :ro_hi: 2
5 :100: 1

#times-okamoto

#customize-ceno

#prj-progress-meeting
